Objects,Attributes,Condition
30012905,FCA_BIN=Medium,alloy_speed_meter_minute_BIN=Medium
30012905,FCA_BIN=Medium,water_consumption_BIN=High
30012905,FCA_BIN=Medium,water_temperature_deltaCelsius_BIN=High
30012905,FCA_BIN=Medium,temperature_measurement1_Celsius_BIN=Low
30012905,FCA_BIN=Medium,temperature_measurement2_Celsius_BIN=Low
30012905,FCA_BIN=Low,cast_in_row_BIN=Medium
30012905,FCA_BIN=Low,steel_weighttonn_BIN=Medium
30012905,FCA_BIN=Low,steel_temperature_grab1Celsius_BIN=High
30012905,FCA_BIN=Low,resistance_tonn_BIN=Low
30012905,FCA_BIN=Low,swing_frequency_amount_minute_BIN=High
30012905,FCA_BIN=Low,crystallizer_movementmm_BIN=Low
30012905,FCA_BIN=Low,alloy_speed_meter_minute_BIN=Medium
30012905,FCA_BIN=Low,water_consumption_BIN=High
30012905,FCA_BIN=Low,water_temperature_deltaCelsius_BIN=High
30012905,FCA_BIN=Low,temperature_measurement1_Celsius_BIN=Low
30012905,FCA_BIN=Low,temperature_measurement2_Celsius_BIN=Low
30012905,FCA_BIN=Critical,cast_in_row_BIN=Low
30012905,FCA_BIN=Critical,steel_weighttonn_BIN=High
30012905,FCA_BIN=Critical,steel_temperature_grab1Celsius_BIN=High
30012905,FCA_BIN=Critical,resistance_tonn_BIN=Low
30012905,FCA_BIN=Critical,swing_frequency_amount_minute_BIN=High
30012905,FCA_BIN=Critical,crystallizer_movementmm_BIN=Low
30012905,FCA_BIN=Critical,alloy_speed_meter_minute_BIN=Medium
30012905,FCA_BIN=Critical,water_consumption_BIN=High
30012905,FCA_BIN=Critical,water_temperature_deltaCelsius_BIN=High
30012905,FCA_BIN=Critical,temperature_measurement1_Celsius_BIN=Low
30012905,FCA_BIN=Critical,temperature_measurement2_Celsius_BIN=Low
30012905,num_stream_BIN=High,cast_in_row_BIN=Low
30012905,num_stream_BIN=High,steel_weighttonn_BIN=High
30012905,num_stream_BIN=High,steel_temperature_grab1Celsius_BIN=High
30012905,num_stream_BIN=High,resistance_tonn_BIN=Low
30012905,num_stream_BIN=High,swing_frequency_amount_minute_BIN=High
30012905,num_stream_BIN=High,crystallizer_movementmm_BIN=Low
30012905,num_stream_BIN=High,alloy_speed_meter_minute_BIN=Medium
30012905,num_stream_BIN=High,water_consumption_BIN=High
30012905,num_stream_BIN=High,water_temperature_deltaCelsius_BIN=High
30012905,num_stream_BIN=High,temperature_measurement1_Celsius_BIN=Low
30012905,num_stream_BIN=High,temperature_measurement2_Celsius_BIN=Low
30012905,num_crystallizer_BIN=Low,cast_in_row_BIN=Low
30012905,num_crystallizer_BIN=Low,steel_weighttonn_BIN=High
30012905,num_crystallizer_BIN=Low,steel_temperature_grab1Celsius_BIN=High
30012905,num_crystallizer_BIN=Low,resistance_tonn_BIN=Low
30012905,num_crystallizer_BIN=Low,swing_frequency_amount_minute_BIN=High
30012905,num_crystallizer_BIN=Low,crystallizer_movementmm_BIN=Low
30012905,num_crystallizer_BIN=Low,alloy_speed_meter_minute_BIN=Medium
30012905,num_crystallizer_BIN=Low,water_consumption_BIN=High
30012905,num_crystallizer_BIN=Low,water_temperature_deltaCelsius_BIN=High
30012905,num_crystallizer_BIN=Low,temperature_measurement1_Celsius_BIN=Low
30012905,num_crystallizer_BIN=Low,temperature_measurement2_Celsius_BIN=Low
30012907,steel_type=Arm500,cast_in_row_BIN=Low
