Rule,Support,Confidence
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {crystallizer_movementmm_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {crystallizer_movementmm_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {resistance_tonn_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {resistance_tonn_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {resistance_tonn_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {resistance_tonn_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {steel_temperature_grab1Celsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {steel_temperature_grab1Celsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {steel_temperature_grab1Celsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {steel_temperature_grab1Celsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {steel_weighttonn_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {steel_weighttonn_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {steel_weighttonn_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {steel_weighttonn_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {temperature_measurement1_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {temperature_measurement1_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {temperature_measurement1_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {temperature_measurement1_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {temperature_measurement2_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {temperature_measurement2_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {temperature_measurement2_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {temperature_measurement2_Celsius_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {water_consumption_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {water_consumption_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {water_temperature_deltaCelsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {water_temperature_deltaCelsius_BIN=High},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},3/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {alloy_speed_meter_minute_BIN=Medium},4/5,0.8
{steel_type=Arm500} -> {RUL_BIN=Critical} | {alloy_speed_meter_minute_BIN=Medium},4/5,0.8
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {alloy_speed_meter_minute_BIN=Medium},4/5,0.8
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {alloy_speed_meter_minute_BIN=Medium},3/5,0.75
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {alloy_speed_meter_minute_BIN=Medium},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {alloy_speed_meter_minute_BIN=Medium},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {alloy_speed_meter_minute_BIN=Medium},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {crystallizer_movementmm_BIN=Low},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {crystallizer_movementmm_BIN=Low},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {crystallizer_movementmm_BIN=Low},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {crystallizer_movementmm_BIN=Low},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {resistance_tonn_BIN=Low},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {resistance_tonn_BIN=Low},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {resistance_tonn_BIN=Low},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {resistance_tonn_BIN=Low},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {steel_temperature_grab1Celsius_BIN=High},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {steel_temperature_grab1Celsius_BIN=High},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {steel_temperature_grab1Celsius_BIN=High},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {steel_temperature_grab1Celsius_BIN=High},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {steel_weighttonn_BIN=High},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {steel_weighttonn_BIN=High},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {steel_weighttonn_BIN=High},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {steel_weighttonn_BIN=High},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {temperature_measurement1_Celsius_BIN=Low},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {temperature_measurement1_Celsius_BIN=Low},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {temperature_measurement1_Celsius_BIN=Low},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {temperature_measurement1_Celsius_BIN=Low},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {temperature_measurement2_Celsius_BIN=Low},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {temperature_measurement2_Celsius_BIN=Low},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {temperature_measurement2_Celsius_BIN=Low},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {temperature_measurement2_Celsius_BIN=Low},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {water_consumption_BIN=High},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {water_consumption_BIN=High},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {water_consumption_BIN=High},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {water_consumption_BIN=High},3/5,0.6
{RUL_BIN=Critical} -> {num_crystallizer_BIN=Low} | {water_temperature_deltaCelsius_BIN=High},3/5,0.6
{alloy_type=open} -> {num_crystallizer_BIN=Low} | {water_temperature_deltaCelsius_BIN=High},3/5,0.6
{steel_type=Arm500} -> {num_crystallizer_BIN=Low} | {water_temperature_deltaCelsius_BIN=High},3/5,0.6
{workpiece_slice_geometry=180x180} -> {num_crystallizer_BIN=Low} | {water_temperature_deltaCelsius_BIN=High},3/5,0.6
