feature,importance
cat__datetime_combined_7/8/2020 11:35,0.00025509378523768636
cat__datetime_combined_5/31/2020 12:56,0.00025468680801200096
cat__datetime_combined_7/17/2020 23:35,0.0002536944331226984
cat__datetime_combined_5/9/2020 15:41,0.00025330043440748007
cat__datetime_combined_1/9/2020 16:45,0.0002531904884031589
cat__datetime_combined_6/8/2020 23:56,0.0002530892984827739
cat__datetime_combined_5/9/2020 14:56,0.00025232649625919827
cat__datetime_combined_7/13/2020 3:08,0.00025113670209393583
cat__datetime_combined_5/9/2020 19:46,0.0002506702900060182
cat__datetime_combined_7/9/2020 23:17,0.0002501739122144998
cat__datetime_combined_6/5/2020 16:09,0.0002499400533569716
cat__datetime_combined_7/13/2020 10:18,0.0002495950850385594
cat__datetime_combined_7/22/2020 3:43,0.0002486406009211221
cat__datetime_combined_5/22/2020 23:43,0.00024845247126616636
cat__steel_type_YP,0.00024836216696022995
cat__datetime_combined_5/8/2020 0:49,0.00024804874709532333
cat__datetime_combined_1/7/2020 12:57,0.000248032588094426
cat__datetime_combined_1/8/2020 6:19,0.0002479935621354086
cat__datetime_combined_4/8/2020 22:07,0.00024746252108526386
cat__datetime_combined_1/10/2020 20:21,0.00024727742533385127
cat__datetime_combined_7/9/2020 18:13,0.0002472718849442864
cat__datetime_combined_7/19/2020 23:38,0.0002470170587052344
cat__datetime_combined_2/9/2020 2:01,0.0002464416948697083
cat__datetime_combined_5/19/2020 19:04,0.00024641677822536415
cat__datetime_combined_8/25/2020 7:03,0.00024613281712673084
cat__datetime_combined_8/26/2020 15:01,0.0002459513380634476
cat__datetime_combined_7/8/2020 23:12,0.0002458959016425571
cat__datetime_combined_5/9/2020 20:51,0.0002457816065800711
cat__datetime_combined_3/8/2020 2:54,0.00024559918892585623
cat__datetime_combined_5/17/2020 2:22,0.0002450543291348728
cat__datetime_combined_6/5/2020 20:29,0.00024498264339161395
cat__datetime_combined_7/14/2020 17:29,0.0002443660169682307
cat__datetime_combined_7/17/2020 22:18,0.0002432736161055661
cat__datetime_combined_7/8/2020 19:03,0.00024314240398671505
cat__datetime_combined_2/9/2020 4:07,0.00024302166903179804
cat__datetime_combined_7/18/2020 0:58,0.0002429276083242514
cat__datetime_combined_8/25/2020 7:44,0.00024231810872280592
cat__datetime_combined_1/7/2020 19:50,0.00024212223341185172
cat__datetime_combined_6/8/2020 11:51,0.00024211614872687693
cat__datetime_combined_1/8/2020 18:27,0.00024195215114499133
cat__datetime_combined_5/25/2020 3:48,0.00024184107066612808
cat__datetime_combined_7/8/2020 0:53,0.0002418109801546304
cat__datetime_combined_7/26/2020 11:19,0.0002415859907481862
cat__datetime_combined_1/7/2020 20:25,0.00024155733347753833
cat__datetime_combined_1/10/2020 17:30,0.00024087929510926655
cat__datetime_combined_7/31/2020 20:36,0.00024065772171850703
cat__datetime_combined_5/31/2020 12:57,0.00024051451948355843
cat__datetime_combined_7/14/2020 16:47,0.000240255321056129
cat__datetime_combined_8/17/2020 21:54,0.00024015784760945814
cat__datetime_combined_1/9/2020 22:29,0.00023977802594704525
cat__datetime_combined_2/8/2020 0:05,0.00023908300336681915
cat__datetime_combined_7/14/2020 1:21,0.00023895895575794823
cat__datetime_combined_1/7/2020 3:27,0.0002387711266015685
cat__datetime_combined_7/21/2020 23:11,0.00023865859494493866
cat__datetime_combined_7/31/2020 3:20,0.0002385303183976316
cat__datetime_combined_5/25/2020 6:08,0.00023834021166514174
cat__datetime_combined_8/25/2020 11:47,0.00023792692769851863
cat__datetime_combined_5/9/2020 12:21,0.0002377917676441665
cat__datetime_combined_5/17/2020 2:54,0.00023753025606441483
cat__datetime_combined_7/18/2020 19:09,0.00023705514840985376
cat__datetime_combined_7/18/2020 15:04,0.00023679217770423413
cat__datetime_combined_1/8/2020 15:03,0.00023615448754669985
cat__datetime_combined_5/25/2020 3:05,0.0002351561670185818
cat__datetime_combined_5/25/2020 16:28,0.000234736676810514
cat__datetime_combined_7/8/2020 14:21,0.00023416283071853213
cat__datetime_combined_7/8/2020 7:26,0.00023390271154085905
cat__datetime_combined_7/14/2020 15:16,0.00023337633761010335
cat__datetime_combined_7/22/2020 22:29,0.00023316876352537662
cat__datetime_combined_1/8/2020 19:05,0.00023296492424080097
cat__datetime_combined_7/15/2020 17:14,0.0002322564406840302
cat__datetime_combined_7/22/2020 18:14,0.00023206051848843927
cat__datetime_combined_7/24/2020 3:08,0.00023191385087078655
cat__datetime_combined_5/19/2020 4:07,0.00023130917317685777
cat__datetime_combined_5/9/2020 9:52,0.00023116756133798822
cat__datetime_combined_7/15/2020 19:56,0.00023056721797787427
cat__datetime_combined_6/9/2020 21:27,0.0002302431611572758
cat__datetime_combined_7/23/2020 3:19,0.00022974029651630525
cat__datetime_combined_5/25/2020 2:28,0.00022971696113862998
cat__datetime_combined_5/9/2020 8:34,0.0002296476719069757
cat__datetime_combined_8/25/2020 20:50,0.00022950475042690568
cat__datetime_combined_5/28/2020 18:07,0.00022888244724401008
cat__datetime_combined_2/9/2020 0:40,0.00022882763736869807
cat__datetime_combined_8/25/2020 15:28,0.0002286073139813553
cat__datetime_combined_5/9/2020 4:30,0.00022801824171631713
cat__datetime_combined_5/27/2020 23:47,0.00022790484054488678
cat__datetime_combined_7/17/2020 8:34,0.00022787539008532477
cat__datetime_combined_5/9/2020 16:13,0.00022786520590681528
cat__datetime_combined_7/16/2020 23:58,0.0002277940814517151
cat__datetime_combined_7/14/2020 0:40,0.0002275017717025639
cat__datetime_combined_8/26/2020 14:19,0.00022723856675173893
cat__datetime_combined_7/8/2020 15:39,0.00022707716758569723
cat__datetime_combined_5/9/2020 20:10,0.00022609986204467672
cat__datetime_combined_6/5/2020 22:00,0.00022558038127965996
cat__datetime_combined_5/23/2020 0:05,0.00022520908352872339
cat__datetime_combined_4/7/2020 11:31,0.0002251708299913246
cat__datetime_combined_7/13/2020 15:41,0.00022481024567258575
cat__datetime_combined_7/31/2020 22:14,0.0002246079012789715
cat__datetime_combined_5/9/2020 11:41,0.0002241573370990529
cat__datetime_combined_8/25/2020 11:15,0.00022385179061995043
cat__datetime_combined_7/24/2020 18:13,0.00022368314583286035
cat__datetime_combined_1/10/2020 18:13,0.00022342956737645965
cat__datetime_combined_8/13/2020 23:17,0.00022332225534365808
cat__datetime_combined_7/13/2020 15:03,0.0002232362195488674
cat__datetime_combined_7/18/2020 12:22,0.00022275941335683997
cat__datetime_combined_5/27/2020 21:35,0.00022270321823073818
cat__datetime_combined_5/27/2020 18:36,0.00022186483291033275
cat__datetime_combined_6/5/2020 19:47,0.00022182836988828578
cat__datetime_combined_4/8/2020 18:42,0.00022143033465423637
cat__datetime_combined_1/8/2020 4:43,0.00022132486576452874
cat__datetime_combined_5/21/2020 0:46,0.00022080309845481732
cat__datetime_combined_7/13/2020 21:10,0.0002206371787709333
cat__datetime_combined_7/13/2020 17:07,0.00022043119067650764
cat__datetime_combined_7/21/2020 18:44,0.00022037254595399963
cat__datetime_combined_5/25/2020 1:00,0.00022030589309801043
cat__datetime_combined_7/16/2020 4:57,0.00022021751674853777
cat__datetime_combined_5/25/2020 5:15,0.00022009418374314854
cat__datetime_combined_1/7/2020 6:34,0.00022002245153250716
cat__datetime_combined_7/24/2020 0:26,0.00021998309384533798
cat__datetime_combined_1/8/2020 7:06,0.0002195878150531648
cat__datetime_combined_5/19/2020 8:45,0.000219409188588584
cat__datetime_combined_1/6/2020 1:40,0.00021931431560433826
cat__datetime_combined_8/25/2020 9:05,0.00021926240333607563
cat__datetime_combined_7/31/2020 2:38,0.0002192257390553185
cat__datetime_combined_1/10/2020 23:09,0.00021921955528970033
cat__datetime_combined_5/26/2020 4:35,0.00021917270413457027
cat__datetime_combined_7/19/2020 0:34,0.00021892775449075614
cat__datetime_combined_5/25/2020 12:50,0.00021858544761812934
cat__datetime_combined_8/7/2020 18:36,0.0002181955859315897
cat__datetime_combined_5/17/2020 7:18,0.00021800667565707426
cat__datetime_combined_5/24/2020 2:20,0.00021736912191701468
cat__datetime_combined_7/17/2020 18:06,0.0002166279461784482
cat__datetime_combined_8/17/2020 21:15,0.0002164472377684037
cat__datetime_combined_7/9/2020 20:24,0.00021637102595723772
cat__datetime_combined_1/8/2020 8:34,0.00021583520553498882
cat__datetime_combined_5/8/2020 1:32,0.00021577300179223004
cat__datetime_combined_5/19/2020 18:14,0.00021565003946892822
cat__datetime_combined_5/27/2020 20:04,0.0002156340566393058
cat__datetime_combined_7/23/2020 20:48,0.000215448704004603
cat__datetime_combined_5/17/2020 5:50,0.0002153243951757464
cat__datetime_combined_7/24/2020 3:47,0.00021504774888911064
cat__datetime_combined_3/9/2020 10:35,0.000214642123889274
cat__datetime_combined_6/8/2020 20:13,0.0002145276869362241
cat__datetime_combined_7/31/2020 17:39,0.00021445188576460375
cat__datetime_combined_7/26/2020 17:30,0.00021436118005689888
cat__datetime_combined_6/8/2020 18:44,0.00021428775362523903
cat__datetime_combined_7/20/2020 7:30,0.0002141446047339492
cat__datetime_combined_8/25/2020 4:21,0.00021413828751960193
cat__datetime_combined_5/23/2020 20:52,0.00021410693478445106
cat__datetime_combined_5/17/2020 8:35,0.00021404841438844922
cat__datetime_combined_1/6/2020 0:25,0.00021385592714268523
cat__datetime_combined_1/8/2020 16:26,0.00021382374552257217
cat__datetime_combined_1/7/2020 12:11,0.0002137763884084495
cat__datetime_combined_3/9/2020 18:50,0.00021359163144673811
cat__datetime_combined_6/9/2020 20:49,0.00021304162701407998
cat__datetime_combined_7/20/2020 0:21,0.00021269956993135174
cat__datetime_combined_7/24/2020 20:34,0.0002123160115911614
cat__datetime_combined_7/16/2020 16:49,0.00021222778559017164
cat__datetime_combined_7/19/2020 7:12,0.00021215617073238062
cat__datetime_combined_7/23/2020 3:59,0.00021175375312759083
cat__datetime_combined_5/31/2020 8:23,0.00021159894962649426
cat__datetime_combined_5/17/2020 8:20,0.00021140065211136533
cat__datetime_combined_8/24/2020 0:11,0.00021128184145370593
cat__datetime_combined_5/31/2020 15:07,0.00021124106786120394
cat__datetime_combined_7/13/2020 16:22,0.00021110764790763955
cat__datetime_combined_7/24/2020 1:01,0.0002110924104958325
cat__datetime_combined_5/9/2020 23:30,0.00021095657813198027
cat__datetime_combined_7/17/2020 7:49,0.00021080091453188737
cat__datetime_combined_7/9/2020 18:55,0.00020993116993236045
cat__datetime_combined_7/15/2020 11:01,0.0002099081443755041
cat__datetime_combined_4/7/2020 14:25,0.0002097352593196891
cat__datetime_combined_7/17/2020 19:42,0.00020953326541855045
cat__datetime_combined_6/5/2020 23:35,0.00020934125928584511
cat__datetime_combined_7/8/2020 12:14,0.00020900689633998937
cat__datetime_combined_1/7/2020 9:22,0.00020889947522935635
cat__datetime_combined_4/8/2020 18:53,0.00020874158127561868
cat__datetime_combined_2/9/2020 0:36,0.0002087014271247055
cat__datetime_combined_6/8/2020 8:30,0.00020860940288041063
cat__datetime_combined_5/31/2020 21:45,0.00020841506897401974
cat__datetime_combined_5/9/2020 14:30,0.00020817399453822874
cat__datetime_combined_5/17/2020 11:32,0.0002080641855004794
cat__datetime_combined_8/26/2020 13:40,0.00020793909122962366
cat__datetime_combined_6/9/2020 0:14,0.00020792262049711168
cat__datetime_combined_7/14/2020 4:18,0.0002077222304710421
cat__datetime_combined_5/31/2020 20:06,0.00020768103742592936
cat__datetime_combined_5/31/2020 15:48,0.00020766903922236454
cat__datetime_combined_1/9/2020 0:46,0.0002074019061217895
cat__datetime_combined_7/23/2020 19:31,0.0002072836093834249
cat__datetime_combined_2/8/2020 2:45,0.00020727299937062677
cat__datetime_combined_7/22/2020 1:16,0.00020700569362717828
cat__datetime_combined_7/19/2020 12:23,0.00020700192522489177
cat__datetime_combined_7/14/2020 18:47,0.00020656946326783426
cat__datetime_combined_7/8/2020 16:17,0.00020649179660047588
cat__datetime_combined_4/7/2020 15:05,0.00020634074461164692
cat__datetime_combined_7/14/2020 18:17,0.00020629479620104744
cat__datetime_combined_5/8/2020 18:24,0.00020622517502910632
