kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
0,0,68942,Healthy
0,0,68916,Healthy
0,0,68916,Healthy
0,0,68889,Healthy
0,0,68888,Healthy
2,0,68848,Medium
2,0,68845,Healthy
2,0,68840,Healthy
0,0,68818,Healthy
2,0,68775,Healthy
0,0,68750,Healthy
0,0,68750,Healthy
0,0,68723,Healthy
0,0,68718,Healthy
1,0,68689,Healthy
2,0,68685,Medium
2,0,68674,Healthy
0,0,68655,Healthy
2,0,68606,Healthy
0,0,68580,Healthy
0,0,68580,Healthy
0,0,68559,Healthy
0,0,68552,Healthy
1,1,68521,Healthy
2,0,68518,Medium
0,0,68508,Healthy
2,0,68486,Healthy
2,0,68443,Healthy
0,0,68417,Healthy
0,0,68417,Healthy
2,0,68396,Healthy
0,0,68380,Healthy
2,0,68352,Medium
0,0,68349,Healthy
0,0,68341,Healthy
0,0,68317,Healthy
0,0,68277,Healthy
0,0,68242,Healthy
0,0,68242,Healthy
0,0,68230,Healthy
2,0,68229,Healthy
2,0,68189,Medium
2,0,68182,Healthy
0,0,68172,Healthy
0,0,68153,Healthy
0,0,68120,Healthy
0,0,68075,Healthy
0,0,68075,Healthy
0,0,68061,Healthy
0,0,68056,Healthy
2,0,68026,Medium
0,0,68015,Healthy
0,0,68003,Healthy
0,0,67990,Healthy
0,0,67947,Healthy
0,0,67912,Healthy
0,0,67912,Healthy
0,0,67900,Healthy
2,0,67896,Healthy
2,0,67856,Medium
0,0,67849,Healthy
0,0,67836,Healthy
0,0,67830,Healthy
2,0,67777,Healthy
0,0,67746,Healthy
0,0,67746,Healthy
2,0,67734,Healthy
2,0,67721,Healthy
0,0,67687,Medium
0,0,67686,Healthy
0,0,67670,Healthy
0,0,67670,Healthy
0,0,67611,Healthy
0,0,67583,Healthy
0,0,67583,Healthy
2,0,67571,Healthy
2,0,67557,Healthy
2,0,67520,Healthy
0,0,67515,Medium
0,0,67504,Healthy
0,0,67501,Healthy
2,0,67456,Healthy
0,0,67426,Healthy
0,0,67426,Healthy
2,0,67408,Healthy
2,0,67385,Healthy
0,0,67347,Healthy
0,0,67343,Low
2,0,67341,Healthy
0,0,67332,Healthy
2,0,67296,Healthy
0,0,67272,Healthy
0,0,67272,Healthy
2,0,67245,Healthy
2,0,67213,Healthy
2,0,67188,Low
0,0,67181,Healthy
0,0,67168,Healthy
0,0,67165,Healthy
2,0,67136,Healthy
0,0,67112,Healthy
0,0,67112,Healthy
2,0,67079,Healthy
0,0,67056,Healthy
2,0,67033,Low
0,0,67018,Healthy
0,0,67005,Healthy
0,0,66999,Healthy
0,0,66966,Healthy
0,0,66945,Healthy
0,0,66945,Healthy
2,0,66906,Healthy
0,0,66889,Healthy
2,0,66869,Low
0,0,66855,Healthy
0,0,66833,Healthy
0,0,66830,Healthy
0,0,66803,Healthy
0,0,66779,Healthy
0,0,66779,Healthy
2,0,66754,Healthy
0,0,66720,Healthy
2,0,66706,Low
0,0,66688,Healthy
0,0,66672,Healthy
0,0,66654,Healthy
2,0,66634,Healthy
2,0,66613,Healthy
2,0,66613,Healthy
0,0,66591,Healthy
0,0,66554,Healthy
2,0,66543,Low
0,0,66528,Healthy
0,0,66506,Healthy
0,0,66488,Healthy
2,0,66461,Healthy
0,0,66459,Healthy
0,0,66459,Healthy
0,0,66416,Healthy
2,0,66388,Healthy
2,0,66379,Low
0,0,66362,Healthy
0,0,66343,Healthy
0,0,66322,Healthy
2,0,66298,Healthy
0,0,66293,Healthy
0,0,66293,Healthy
0,0,66249,Healthy
0,0,66227,Healthy
2,0,66225,Low
0,0,66196,Healthy
0,0,66183,Healthy
0,0,66159,Healthy
