feature,importance
cat__datetime_combined_7/13/2020 18:32,0.00011833093212706371
cat__steel_type_Arm240,0.0001178633728500838
cat__datetime_combined_7/8/2020 18:22,0.000117789348733556
cat__datetime_combined_8/24/2020 6:20,0.0001169400961276601
cat__datetime_combined_5/23/2020 21:36,0.00011507492944175978
cat__datetime_combined_7/31/2020 15:23,0.00011432782120219415
cat__datetime_combined_7/15/2020 1:25,0.00011398203949246166
cat__datetime_combined_8/16/2020 19:14,0.00011346294490021798
cat__datetime_combined_7/7/2020 19:04,0.00011296368890212181
cat__datetime_combined_8/16/2020 14:27,0.00011132798023006323
cat__datetime_combined_7/27/2020 19:47,0.00010961339589174543
cat__datetime_combined_8/17/2020 21:54,0.00010835986578990346
cat__datetime_combined_7/8/2020 1:17,0.0001081046792807054
cat__datetime_combined_7/16/2020 17:27,0.00010801331152996042
cat__datetime_combined_8/26/2020 19:48,0.00010777175470809052
cat__datetime_combined_7/9/2020 18:55,0.00010730512492282484
cat__datetime_combined_7/5/2020 3:17,0.00010713234239439368
cat__datetime_combined_7/24/2020 16:54,0.00010652231000233895
cat__datetime_combined_7/7/2020 17:51,0.00010557355241244996
cat__datetime_combined_8/26/2020 15:37,0.00010431720727660759
cat__datetime_combined_7/29/2020 23:02,0.00010378419570028406
cat__datetime_combined_7/7/2020 21:15,0.00010342444393803665
cat__datetime_combined_7/17/2020 8:34,0.0001033414306670902
cat__datetime_combined_7/13/2020 7:37,0.00010305921279524493
cat__datetime_combined_7/13/2020 8:18,0.0001027125600077198
cat__datetime_combined_8/24/2020 22:57,9.950106462431166e-05
cat__datetime_combined_7/16/2020 7:40,9.890231414684765e-05
cat__datetime_combined_7/23/2020 5:22,9.872155540125899e-05
cat__datetime_combined_5/31/2020 22:16,9.84508837672532e-05
cat__datetime_combined_6/8/2020 22:05,9.83087995867108e-05
cat__datetime_combined_8/25/2020 4:21,9.800849460298245e-05
cat__datetime_combined_7/26/2020 7:08,9.717942331457069e-05
cat__datetime_combined_7/27/2020 20:18,9.50064485610518e-05
cat__datetime_combined_5/31/2020 20:06,9.472388431574554e-05
cat__datetime_combined_6/8/2020 23:56,9.467901410877549e-05
cat__datetime_combined_7/28/2020 0:39,9.4434748374228e-05
cat__datetime_combined_7/8/2020 11:35,9.41895660098828e-05
cat__datetime_combined_7/7/2020 20:28,9.161829159911886e-05
cat__datetime_combined_7/27/2020 18:09,9.04763448629002e-05
cat__datetime_combined_7/13/2020 1:03,8.83092944044507e-05
cat__datetime_combined_7/17/2020 21:37,8.818128111089325e-05
cat__datetime_combined_6/8/2020 22:39,8.805384421615845e-05
cat__datetime_combined_7/8/2020 23:12,8.79686236087735e-05
cat__datetime_combined_8/25/2020 14:40,8.762233349026743e-05
cat__datetime_combined_7/5/2020 4:04,8.694897006007549e-05
cat__datetime_combined_8/26/2020 20:58,8.663463485560671e-05
cat__datetime_combined_8/15/2020 7:21,8.596578936573537e-05
cat__datetime_combined_7/26/2020 12:03,8.593128507630397e-05
cat__datetime_combined_7/15/2020 19:19,8.532547106073717e-05
cat__datetime_combined_8/16/2020 23:18,8.50634940782459e-05
cat__datetime_combined_7/15/2020 18:39,8.353122362782883e-05
cat__datetime_combined_7/16/2020 2:43,8.332071795209127e-05
cat__datetime_combined_8/16/2020 12:11,8.183158687996094e-05
cat__datetime_combined_7/26/2020 9:56,8.111935273126975e-05
cat__datetime_combined_8/17/2020 21:15,8.093660129101879e-05
cat__datetime_combined_1/9/2020 23:24,8.077868312867337e-05
cat__datetime_combined_7/16/2020 6:59,8.059749438446596e-05
cat__datetime_combined_8/21/2020 17:53,8.044354810447208e-05
cat__datetime_combined_7/9/2020 18:13,7.937754078140655e-05
cat__datetime_combined_7/9/2020 22:31,7.892600089358883e-05
cat__datetime_combined_6/8/2020 20:13,7.870135585512705e-05
cat__datetime_combined_8/18/2020 23:27,7.783479549235813e-05
cat__datetime_combined_7/8/2020 2:03,7.6673164858706e-05
cat__datetime_combined_8/15/2020 0:49,7.662870180509388e-05
cat__datetime_combined_7/16/2020 5:40,7.570806691923933e-05
cat__datetime_combined_7/7/2020 2:42,7.537363827935711e-05
cat__datetime_combined_7/16/2020 9:02,7.53424761385739e-05
cat__datetime_combined_7/15/2020 22:37,7.487881826165214e-05
cat__datetime_combined_5/9/2020 0:14,7.428642893561682e-05
cat__datetime_combined_7/19/2020 7:12,7.198333456670872e-05
cat__datetime_combined_7/29/2020 15:42,7.174854820414475e-05
cat__datetime_combined_5/25/2020 12:03,7.159784591670383e-05
cat__datetime_combined_8/15/2020 18:18,7.147748188539523e-05
cat__datetime_combined_7/31/2020 17:39,7.147151645313466e-05
cat__datetime_combined_8/26/2020 20:18,7.132380144647477e-05
cat__datetime_combined_7/23/2020 18:48,7.111187491694609e-05
cat__datetime_combined_5/23/2020 19:30,7.014804490043085e-05
cat__datetime_combined_8/25/2020 5:41,6.990274542148383e-05
cat__datetime_combined_5/9/2020 20:10,6.98068367578393e-05
cat__datetime_combined_7/16/2020 14:43,6.979077572947186e-05
cat__datetime_combined_6/9/2020 0:47,6.937644797438809e-05
cat__datetime_combined_5/22/2020 19:51,6.891505614788708e-05
cat__datetime_combined_7/7/2020 16:13,6.814018071790979e-05
cat__datetime_combined_8/25/2020 15:28,6.792943835194573e-05
cat__datetime_combined_7/13/2020 2:24,6.784955192054888e-05
cat__datetime_combined_7/17/2020 22:59,6.737341308841433e-05
cat__datetime_combined_5/27/2020 17:48,6.714545127217669e-05
cat__datetime_combined_7/7/2020 4:56,6.70829406480906e-05
cat__datetime_combined_6/9/2020 1:26,6.704198455656477e-05
cat__datetime_combined_8/17/2020 1:49,6.7038961892359e-05
cat__datetime_combined_8/16/2020 0:03,6.696604313373361e-05
cat__datetime_combined_8/25/2020 5:04,6.696262107605553e-05
cat__datetime_combined_7/23/2020 0:58,6.694177530741834e-05
cat__datetime_combined_7/9/2020 21:46,6.683197378866639e-05
cat__datetime_combined_7/13/2020 3:08,6.621326812306461e-05
cat__datetime_combined_7/30/2020 3:18,6.586108923922301e-05
cat__datetime_combined_7/26/2020 12:43,6.546853010329557e-05
cat__datetime_combined_7/18/2020 23:12,6.533929481083165e-05
cat__datetime_combined_5/9/2020 5:10,6.532998881914272e-05
cat__datetime_combined_7/8/2020 16:17,6.419788965858772e-05
cat__datetime_combined_7/23/2020 17:58,6.362914711869869e-05
cat__datetime_combined_8/16/2020 17:51,6.304516309323596e-05
cat__datetime_combined_7/14/2020 3:25,6.218435556207775e-05
cat__datetime_combined_5/31/2020 20:54,6.213786042682077e-05
cat__datetime_combined_5/9/2020 16:56,6.193209983046223e-05
cat__datetime_combined_7/16/2020 16:49,6.180082425455698e-05
cat__datetime_combined_8/17/2020 3:11,6.178606958944347e-05
cat__datetime_combined_5/22/2020 18:57,6.178068018905412e-05
cat__datetime_combined_7/18/2020 21:17,6.154152495981288e-05
cat__datetime_combined_7/19/2020 23:38,6.154018496528148e-05
