support,itemsets
0.3724,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.3724,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.2528,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.2512,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.3274,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.3724,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.3628,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.3724,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3724,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1678,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High'})"
0.1784,"frozenset({'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.1784,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.163,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
0.1784,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.1694,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.1784,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.1784,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.5516,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
