support,itemsets
0.283,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
0.2764,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
0.2838,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2838,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.3,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.3102,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.3102,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.3002,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.3002,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.7344,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'swing_frequency, amount/minute_BIN_High'})"
0.1696,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'swing_frequency, amount/minute_BIN_Medium'})"
0.3376,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.6334,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.8824,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.9988,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.9754,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.9996,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9996,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2656,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4618,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium'})"
0.3368,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3284,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3344,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.2386,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.494,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.7334,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.7342,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.7338,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.7344,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.7344,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2014,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.361,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium'})"
0.2536,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.2446,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.2362,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.1696,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'swing_frequency, amount/minute_BIN_Medium'})"
0.1696,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'swing_frequency, amount/minute_BIN_Medium'})"
0.1696,"frozenset({'swing_frequency, amount/minute_BIN_Medium', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.255,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.3374,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.3352,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.3376,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3376,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1532,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.6244,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.6328,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.6136,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.6334,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.6334,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1728,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.1608,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2998,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2158,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.2102,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2074,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.8816,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.8642,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.8824,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.8824,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.235,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.216,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low'})"
0.4314,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})"
0.301,"frozenset({'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.2928,"frozenset({'num_stream_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2886,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.9752,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.9988,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9988,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2716,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2656,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4616,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium'})"
0.3362,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3282,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3344,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.9754,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9754,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2662,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2588,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4504,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.3278,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3212,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3264,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.9996,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,"frozenset({'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.2656,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.4618,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3284,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3344,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.2722,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4618,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3284,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3344,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1986,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'num_stream_BIN_Medium'})"
0.239,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'swing_frequency, amount/minute_BIN_High'})"
0.494,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.7338,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'swing_frequency, amount/minute_BIN_High'})"
0.7346,"frozenset({'resistance, tonn_BIN_Low', 'swing_frequency, amount/minute_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.7342,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'swing_frequency, amount/minute_BIN_High'})"
0.7348,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.7348,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.2014,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_High', 'swing_frequency, amount/minute_BIN_High'})"
0.172,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.3614,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'swing_frequency, amount/minute_BIN_High'})"
0.2536,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'swing_frequency, amount/minute_BIN_High'})"
0.2448,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.2364,"frozenset({'resistance, tonn_BIN_Low', 'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Medium'})"
0.1696,"frozenset({'resistance, tonn_BIN_Low', 'swing_frequency, amount/minute_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.1696,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'swing_frequency, amount/minute_BIN_Medium'})"
0.1696,"frozenset({'resistance, tonn_BIN_Low', 'swing_frequency, amount/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2554,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.3378,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.3356,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.338,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.338,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1536,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.6244,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.6328,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.6136,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.6334,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.6334,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1728,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.1608,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2998,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2158,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.2102,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2074,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.882,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.8646,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.8828,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.8828,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.235,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.216,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low'})"
0.4318,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})"
0.301,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.293,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2888,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.9756,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.9992,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.9992,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.2716,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.2656,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.462,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.3362,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.3284,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.3346,"frozenset({'resistance, tonn_BIN_Low', 'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Medium'})"
0.9758,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9758,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2662,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2588,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4508,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.3278,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3214,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3266,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
1.0,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.4622,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3286,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.2722,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4622,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3286,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1988,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'num_stream_BIN_Medium'})"
0.239,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.2388,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.239,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.239,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.239,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.493,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.494,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.4934,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.494,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.494,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2366,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.169,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
