PC1,PC2,calculated_RUL_tons,RUL_Class
-1.0859073437502742,1.7827056094452887,71346,Medium
0.8118231524224979,-0.7754175843651351,71322,Healthy
-3.2580476212222824,-1.686856146377073,71304,Healthy
0.24951198784166326,-0.0913982470817329,71298,Healthy
2.69838613508782,-2.956786507689809,71283,Healthy
0.18621559071030513,1.3864417116741539,71221,Healthy
0.147924426627716,1.3511443677520871,71221,Healthy
-0.007731639851511379,0.24509504287987616,71209,Healthy
2.264749548735496,-2.5940811411735964,71205,Healthy
-0.3078528391314599,0.26449858585498803,71180,Medium
0.8673025159384385,-1.021571793448555,71155,Healthy
0.12123493556768003,0.11819251035371485,71134,Healthy
-3.069398807034444,-2.101642135228043,71134,Healthy
2.7455722585050157,-3.181369362096537,71113,Healthy
0.7472752345804886,0.7408407622469594,71059,Healthy
0.7089840704978996,0.7055434183248928,71059,Healthy
0.2641868280542173,-0.21507170224788247,71040,Healthy
-0.670235543872891,1.3802109658037245,71038,Healthy
-0.1629740851763034,0.3980498979625471,71013,Medium
0.8673025159384385,-1.021571793448555,70989,Healthy
-3.977118882658555,-0.2784123261199199,70970,Healthy
0.4366182902399092,-0.5567902330444043,70968,Healthy
2.632986821463216,-2.849353022178944,70947,Healthy
0.8420976209659491,0.9809256508492233,70905,Healthy
0.8038396669129197,0.9456589204084421,70905,Healthy
0.3531415803465104,-0.22412219349421916,70873,Healthy
0.6449963352152605,-0.8702025590423036,70872,Healthy
-1.0639328964641792,1.8183684158679807,70853,Medium
0.738383672670433,-0.6467008776618174,70826,Healthy
-4.030731936913698,-0.1994684611856712,70806,Healthy
0.2998056269868873,-0.48446629088663745,70799,Healthy
2.5896651692208383,-2.6368832636471833,70784,Healthy
0.4649572540199368,-0.14400673174105702,70739,Healthy
0.44524710147612356,-0.1621758328839421,70739,Healthy
0.6793449919126424,-0.6069983933434077,70710,Healthy
0.8952272031671318,-1.2272471763388695,70705,Healthy
-0.9190375374942428,1.9519350347161826,70693,Medium
0.738383672670433,-0.6467008776618174,70663,Healthy
0.4148264215980283,-0.2374887723501033,70639,Healthy
-3.076984870272597,-2.1370213817293817,70635,Healthy
2.462386952533791,-2.5874055214151137,70618,Healthy
0.86577284544259,-0.7256859840170022,70575,Healthy
0.8854829979864033,-0.7075168828741171,70575,Healthy
0.3414080551454494,-0.17239455648690324,70542,Healthy
0.34640332386901185,-0.3676291602417021,70541,Healthy
-0.19053897641377449,-0.23992746867326928,70520,Medium
0.8842104810465456,-0.9029815129676183,70500,Healthy
0.13536292672367103,-0.07724700771496458,70473,Healthy
-5.78782184429935,6.52388993717774,70471,Healthy
2.651433742095972,-3.056308905303708,70448,Healthy
0.9221986948009884,-0.9709677088837885,70409,Healthy
0.9419088473448016,-0.9527986077409033,70409,Healthy
0.07867770645949193,0.09325699726329985,70376,Healthy
0.7671195708650514,0.22364025945081106,70375,Healthy
-0.045593802399498215,-0.10631492960313939,70348,Medium
0.8842104810465456,-0.9029815129676183,70336,Healthy
0.1515091021195293,0.04070031230358453,70309,Healthy
-5.032102925178512,5.235608894136851,70307,Healthy
2.6383705315295822,-2.8655436333174316,70282,Healthy
0.8120435182343384,-0.5788001761707994,70246,Healthy
0.792333365690525,-0.5969692773136845,70246,Healthy
0.06932635352030214,0.42228856758844574,70211,Healthy
1.232587706521979,-2.116591189874272,70203,Healthy
-0.2871546826133993,0.21235181752018784,70182,Medium
0.5504540966280052,-0.34281720546740485,70173,Healthy
0.08120693443534752,0.2681579315292605,70146,Healthy
-6.262178049851562,3.5631319755901267,70146,Healthy
2.6041044860163813,-2.8344548044408593,70116,Healthy
0.9579035366400109,-0.8350501979953149,70083,Healthy
0.9381601740666378,-0.8532499126194855,70083,Healthy
0.01490652877402964,0.34481441877755736,70045,Healthy
1.1224652009163554,-1.6319895983355672,70037,Healthy
-0.142209508599123,0.3459643565903177,70015,Medium
0.5504540966280052,-0.34281720546740485,70010,Healthy
0.2629278146643283,0.501346334988072,69983,Healthy
-6.390617527612453,3.7205077596033056,69983,Healthy
3.108424605756228,-3.9759640785076873,69944,Healthy
0.6241139421919105,-0.2749165039763869,69920,Healthy
0.6044037896480973,-0.293085605119272,69920,Healthy
0.37338527856262393,-0.2768656926479021,69879,Healthy
1.1367227451602477,-1.51042381056199,69874,Healthy
-0.7377131855760132,0.9557492846042289,69849,Medium
0.21856107921565046,-0.26351506734714947,69838,Healthy
-0.04412244164951064,0.3115944325644889,69817,Healthy
-6.303270975986737,3.247150954629201,69813,Healthy
0.7583640239316108,0.35645029195529804,69780,Healthy
0.27246095719140256,-0.21382938722094474,69747,Healthy
0.2922209247795557,-0.1956143658561315,69747,Healthy
0.5016872892896412,-0.4889709866136252,69713,Healthy
0.4425813927857205,-0.3757042555847422,69711,Healthy
-0.592784616576517,1.0893465169337162,69683,Medium
0.21856107921565046,-0.26351506734714947,69665,Healthy
-5.179180752313687,5.392707524922743,69655,Healthy
0.7010867833713486,-0.16596834203110197,69644,Healthy
2.5674604057448245,-2.320677763561398,69623,Healthy
0.8182253396608348,-0.915801168448438,69578,Healthy
0.7984653720726816,-0.9340161898132512,69578,Healthy
0.3269686656985899,-0.40830836587842606,69545,Healthy
0.22094684321835592,-0.1664535705688266,69543,Healthy
-0.25338465639794877,0.44666817208339893,69522,Medium
0.7445820991117094,-0.9836865631988133,69496,Healthy
0.6746213285220064,1.1587948211164634,69493,Healthy
-6.470663393406708,3.8204633445939167,69491,Healthy
3.301004003013248,-5.146062858895293,69435,Healthy
-0.10063406438051134,1.0946672079793962,69418,Healthy
-0.12039403196866447,1.076452186614583,69418,Healthy
0.6274208360476622,-0.1129764504244609,69389,Healthy
0.4797262032024811,-0.3629298185125324,69384,Healthy
-0.10850590244279233,0.5802194841909579,69362,Medium
-6.5280517009359595,4.12164258689933,69332,Healthy
1.0514111086103988,-0.041856941252977224,69329,Healthy
0.7445820991117094,-0.9836865631988133,69327,Healthy
1.3527933494732618,-0.4790828453175288,69271,Healthy
0.25329239859313457,0.16332294675208028,69251,Healthy
0.23353243100498142,0.14510792538726705,69251,Healthy
0.5926389826535541,-0.08512970502091344,69223,Healthy
0.20027931334290391,-0.2026727471367512,69218,Healthy
-0.6999545096705152,0.43734391786429255,69187,Medium
-5.670767990993755,6.0247452103987635,69170,Healthy
-0.17429390994441665,1.0267665064883782,69166,Healthy
2.1930686799749566,-2.5504914878230474,69154,Healthy
0.48027809955269635,0.9912965446964797,69108,Healthy
0.4480833979753124,-0.2263787121511607,69085,Healthy
0.46784336556346556,-0.20816369078634747,69085,Healthy
0.6987859792472565,-0.6072972793191854,69060,Healthy
0.5719981233340349,-0.8062531964021085,69052,Healthy
-0.5551089657449187,0.5708646164905663,69011,Medium
-0.17429390994441665,1.0267665064883782,69006,Healthy
-2.491083051790478,1.1481535018545785,69006,Healthy
1.7538256787578235,-1.3564374407199424,68988,Healthy
0.86285812235107,0.20264016431769333,68942,Healthy
0.6565954345008747,-0.6749197452093028,68916,Healthy
0.6368354669127214,-0.693134766574116,68916,Healthy
0.9347454106368718,-1.2790430576646972,68889,Healthy
0.41293701514103875,-0.5901187406636796,68888,Healthy
-0.19289303471974295,0.18951818183653418,68848,Medium
-3.3805908198181096,2.7692269771442417,68845,Healthy
0.17963255302922929,0.0954222452610622,68840,Healthy
2.1019798165040933,-2.111674059224199,68818,Healthy
0.5332857863234256,0.7511045032295038,68775,Healthy
1.1213596256954115,-1.2968584943488715,68750,Healthy
