anomaly_label,anomaly_score,is_anomaly,calculated_RUL_tons,RUL_Class
1,0.16764604453546,0,75260,Healthy
-1,-0.1273258086162833,1,75250,Healthy
1,0.18233286237848195,0,75232,Healthy
-1,-0.14282001401190358,1,75200,Healthy
-1,-0.1420147020610799,1,75200,Healthy
1,0.11624574527911186,0,75142,Medium
1,0.060435042454215326,0,75097,Healthy
1,0.1870442371611008,0,75097,Healthy
-1,-0.1319462808620293,1,75086,Healthy
1,0.16342379064308904,0,75069,Healthy
-1,-0.1345305048613733,1,75038,Healthy
-1,-0.13705671768908922,1,75038,Healthy
1,0.11994394553490362,0,74976,Medium
1,0.18667671862040586,0,74937,Healthy
1,0.03447803910186553,0,74927,Healthy
-1,-0.1423293612904717,1,74926,Healthy
1,0.16521469599118777,0,74912,Healthy
1,0.012649218652907579,0,74874,Healthy
1,0.010932015812733953,0,74874,Healthy
1,0.12720815064759317,0,74809,Medium
1,0.17218633758526986,0,74774,Healthy
-1,-0.13468612864274088,1,74765,Healthy
1,0.04497575036642154,0,74763,Healthy
1,0.17231444975712434,0,74740,Healthy
-1,-0.037222097459093106,1,74713,Healthy
-1,-0.035860342080705765,1,74713,Healthy
1,0.11678665987426029,0,74646,Medium
1,0.03145913283465318,0,74613,Healthy
1,0.18684762801852872,0,74610,Healthy
1,0.02726956618293308,0,74601,Healthy
1,0.011909065915627237,0,74601,Healthy
-1,-0.03423806918737782,1,74557,Healthy
-1,-0.0302847941608807,1,74557,Healthy
1,0.1272827242017821,0,74483,Medium
1,0.07871349295335395,0,74454,Healthy
1,0.1854868240162435,0,74444,Healthy
-1,-0.035928605838083216,1,74439,Healthy
1,0.013786125827530582,0,74433,Healthy
-1,-0.008430727009093308,1,74389,Healthy
-1,-0.0030444041485517825,1,74389,Healthy
1,0.1225386024141712,0,74313,Medium
1,0.1546802090231968,0,74293,Healthy
-1,-0.030357994627341567,1,74283,Healthy
1,0.18647159909977984,0,74281,Healthy
1,0.005824785226078322,0,74272,Healthy
1,0.18242106448395307,0,74229,Healthy
1,0.17833884313392734,0,74229,Healthy
1,0.1295403460690726,0,74144,Medium
1,0.118167012442217,0,74135,Healthy
1,0.1893624157036296,0,74118,Healthy
